code;officialTitle;shortTitle
SK0101;Okres Bratislava I;Bratislava I
SK0102;Okres Bratislava II;Bratislava II
SK0103;Okres Bratislava III;Bratislava III
SK0104;Okres Bratislava IV;Bratislava IV
SK0105;Okres Bratislava V;Bratislava V
SK0106;Okres Malacky;Malacky
SK0107;Okres Pezinok;Pezinok
SK0108;Okres Senec;Senec
SK0211;Okres Dunajská Streda;Dunajská Streda
SK0212;Okres Galanta;Galanta
SK0213;Okres Hlohovec;Hlohovec
SK0214;Okres Piešťany;Piešťany
SK0215;Okres Senica;Senica
SK0216;Okres Skalica;Skalica
SK0217;Okres Trnava;Trnava
SK0221;Okres Bánovce nad Bebravou;Bánovce nad Bebravou
SK0222;Okres Ilava;Ilava
SK0223;Okres Myjava;Myjava
SK0224;Okres Nové Mesto nad Váhom;Nové Mesto nad Váhom
SK0225;Okres Partizánske;Partizánske
SK0226;Okres Považská Bystrica;Považská Bystrica
SK0227;Okres Prievidza;Prievidza
SK0228;Okres Púchov;Púchov
SK0229;Okres Trenčín;Trenčín
SK0231;Okres Komárno;Komárno
SK0232;Okres Levice;Levice
SK0233;Okres Nitra;Nitra
SK0234;Okres Nové Zámky;Nové Zámky
SK0235;Okres Šaľa;Šaľa
SK0236;Okres Topoľčany;Topoľčany
SK0237;Okres Zlaté Moravce;Zlaté Moravce
SK031A;Okres Tvrdošín;Tvrdošín
SK031B;Okres Žilina;Žilina
SK0311;Okres Bytča;Bytča
SK0312;Okres Čadca;Čadca
SK0313;Okres Dolný Kubín;Dolný Kubín
SK0314;Okres Kysucké Nové Mesto;Kysucké Nové Mesto
SK0315;Okres Liptovský Mikuláš;Liptovský Mikuláš
SK0316;Okres Martin;Martin
SK0317;Okres Námestovo;Námestovo
SK0318;Okres Ružomberok;Ružomberok
SK0319;Okres Turčianske Teplice;Turčianske Teplice
SK032A;Okres Veľký Krtíš;Veľký Krtíš
SK032B;Okres Zvolen;Zvolen
SK032C;Okres Žarnovica;Žarnovica
SK032D;Okres Žiar nad Hronom;Žiar nad Hronom
SK0321;Okres Banská Bystrica;Banská Bystrica
SK0322;Okres Banská Štiavnica;Banská Štiavnica
SK0323;Okres Brezno;Brezno
SK0324;Okres Detva;Detva
SK0325;Okres Krupina;Krupina
SK0326;Okres Lučenec;Lučenec
SK0327;Okres Poltár;Poltár
SK0328;Okres Revúca;Revúca
SK0329;Okres Rimavská Sobota;Rimavská Sobota
SK041A;Okres Stará Ľubovňa;Stará Ľubovňa
SK041B;Okres Stropkov;Stropkov
SK041C;Okres Svidník;Svidník
SK041D;Okres Vranov nad Topľou;Vranov nad Topľou
SK0411;Okres Bardejov;Bardejov
SK0412;Okres Humenné;Humenné
SK0413;Okres Kežmarok;Kežmarok
SK0414;Okres Levoča;Levoča
SK0415;Okres Medzilaborce;Medzilaborce
SK0416;Okres Poprad;Poprad
SK0417;Okres Prešov;Prešov
SK0418;Okres Sabinov;Sabinov
SK0419;Okres Snina;Snina
SK042A;Okres Spišská Nová Ves;Spišská Nová Ves
SK042B;Okres Trebišov;Trebišov
SK0421;Okres Gelnica;Gelnica
SK0422;Okres Košice I;Košice I
SK0423;Okres Košice II;Košice II
SK0424;Okres Košice III;Košice III
SK0425;Okres Košice IV;Košice IV
SK0426;Okres Košice - okolie;Košice - okolie
SK0427;Okres Michalovce;Michalovce
SK0428;Okres Rožňava;Rožňava
SK0429;Okres Sobrance;Sobrance
SKZZZ;Zahraničie;Zahraničie
SKZZZZ;Zahraničie;Zahraničie